State,Year,Yield_t_ha
Orissa,2005,1.5544911436264026
Orissa,2006,1.556766704416761
Orissa,2007,1.7195041960932305
Orissa,2008,1.552539952992518
Orissa,2009,1.6087356932748083
Orissa,2010,1.6402433685386293
Orissa,2011,1.4720791901192147
Orissa,2012,2.3607311270921216
Orissa,2013,1.8212964867877766
Orissa,2014,2.3629466235904624
Orissa,2015,1.4906393742499702
Orissa,2016,2.4715780336026727
Orissa,2017,1.739429533319704
Orissa,2018,2.003852910540962
Orissa,2019,2.475454930710456
Punjab,2000,3.5057427258805514
Punjab,2001,3.545198875050221
Punjab,2002,3.5098814229249014
Punjab,2003,3.693955623565417
Punjab,2004,3.942954287873064
Punjab,2005,3.9243663123466885
Punjab,2006,3.9197930142302715
Punjab,2007,4.059281696235396
Punjab,2008,4.063192449733279
Punjab,2009,4.051282051282051
Punjab,2010,3.8722133757961785
Punjab,2011,3.8180213509363705
Punjab,2012,4.0549359768690625
Punjab,2013,4.012815212897892
Punjab,2014,3.9091649694501016
Punjab,2015,4.083201267828843
Punjab,2016,4.238944918541505
Punjab,2017,4.423136049192928
Punjab,2018,4.166539923954373
Punjab,2019,4.035824345146379
Rajasthan,2000,0.9364926629781092
Rajasthan,2001,1.24702216066482
Rajasthan,2002,0.8127542474276143
Rajasthan,2003,1.652993681676863
Rajasthan,2004,1.484068264772615
Rajasthan,2005,1.424
Rajasthan,2006,1.5756029684601114
Rajasthan,2007,2.0313673341677094
Rajasthan,2008,1.8071119872621124
Rajasthan,2009,1.5145787251156244
Rajasthan,2010,2.0249576336465878
Rajasthan,2011,1.886018921760024
Rajasthan,2012,1.7707998715065854
Rajasthan,2013,2.147099543126125
Rajasthan,2014,2.1857785778577856
Rajasthan,2015,2.021530180699731
Rajasthan,2016,2.365440464666021
Rajasthan,2017,2.4654187637844256
Rajasthan,2018,2.2905648885956453
Rajasthan,2019,2.188965580289802
Tamil Nadu,2000,3.541448921409787
Tamil Nadu,2001,3.1961230751305902
Tamil Nadu,2002,2.3587220995021596
Tamil Nadu,2003,2.311547485831859
Tamil Nadu,2004,2.7039472620350256
Tamil Nadu,2005,2.5396526480288295
Tamil Nadu,2006,3.4279943350770568
Tamil Nadu,2007,2.81383158606696
Tamil Nadu,2008,2.676134944216183
Tamil Nadu,2009,3.0548557383459487
Tamil Nadu,2010,3.0120124012919813
Tamil Nadu,2011,3.901531043914651
Tamil Nadu,2012,2.7047488948076555
Tamil Nadu,2013,4.086175899369254
Tamil Nadu,2014,4.409441310616592
Tamil Nadu,2015,3.656716648552311
Tamil Nadu,2016,3.2731756798180833
Tamil Nadu,2017,3.7485177893483916
Tamil Nadu,2018,3.529754433587768
Tamil Nadu,2019,3.7914532408307937
Telangana,2000,2.853635059884495
Telangana,2001,2.7234687643195357
Telangana,2002,2.106806282722513
Telangana,2003,2.8493409218247767
Telangana,2004,2.5722688781987815
Telangana,2005,3.0217584734161966
Telangana,2006,2.858100348553737
Telangana,2007,3.159527568013425
Telangana,2008,3.1691289927815123
Telangana,2009,2.931974314362074
Telangana,2010,3.3028944788624215
Telangana,2011,2.942259438141236
Telangana,2012,3.2765436972598008
Telangana,2013,3.299751306144142
Telangana,2014,3.2110539627813655
Telangana,2015,2.9146080101035223
Telangana,2016,3.710666570376255
Telangana,2017,3.227267935269622
Telangana,2018,3.5346054564383405
Telangana,2019,3.7322321156636864
Uttar Pradesh,2000,1.977127795543382
Uttar Pradesh,2001,2.1174646207768935
Uttar Pradesh,2002,1.840682842620121
Uttar Pradesh,2003,2.1814605956911906
Uttar Pradesh,2004,1.7898912669053004
Uttar Pradesh,2005,1.995508142447799
Uttar Pradesh,2006,1.8698336380475218
Uttar Pradesh,2007,2.0567555453256934
Uttar Pradesh,2008,2.177339860256893
Uttar Pradesh,2009,2.0965004829746965
Uttar Pradesh,2010,2.1224370467169895
Uttar Pradesh,2011,2.3579168688338994
Uttar Pradesh,2012,2.4474075193271387
Uttar Pradesh,2013,2.448760736966552
Uttar Pradesh,2014,2.2767997914255464
Uttar Pradesh,2015,2.1310460607790187
Uttar Pradesh,2016,2.4154223176886065
Uttar Pradesh,2017,2.6222330282193953
Uttar Pradesh,2018,2.704956900706026
Uttar Pradesh,2019,2.8751086712659153
Uttarakhand,2000,2.039707563840477
Uttarakhand,2001,2.036262693699708
Uttarakhand,2002,1.9002978352462592
Uttarakhand,2003,1.7443667732579757
Uttarakhand,2004,1.9032291630536575
Uttarakhand,2005,1.8393299003544439
Uttarakhand,2006,1.8917770034843207
Uttarakhand,2007,1.9940497786807925
Uttarakhand,2008,1.9667196536679405
Uttarakhand,2009,2.084316057774002
Uttarakhand,2010,1.9096286444296664
Uttarakhand,2011,2.144462220929387
Uttarakhand,2012,2.2539647168059425
Uttarakhand,2013,2.2863531225905938
Uttarakhand,2014,2.3102772117344
Uttarakhand,2015,2.420201334690646
Uttarakhand,2016,2.3978963185574758
Uttarakhand,2017,2.5523224568138194
Uttarakhand,2018,2.4157701947175627
Uttarakhand,2019,2.62804050122202
West Bengal,2000,2.2870002613493727
West Bengal,2001,2.5143322416512692
West Bengal,2002,2.463530527782962
West Bengal,2003,2.504042100013152
West Bengal,2004,2.574176441896908
West Bengal,2005,2.5097648479313053
West Bengal,2006,2.5933691337025944
West Bengal,2007,2.5739795026058974
West Bengal,2008,2.5338827375836326
West Bengal,2009,2.5476803894742455
West Bengal,2010,2.7088655746992707
West Bengal,2011,2.6894489754588804
West Bengal,2012,2.7460136632404444
West Bengal,2013,2.7894987027595843
West Bengal,2014,2.8826395777370704
West Bengal,2015,2.887789842736999
West Bengal,2016,2.910845386033599
West Bengal,2017,2.9607253584931628
West Bengal,2018,3.0129549872973453
West Bengal,2019,3.00632061021816
